05/07 16:39:36 

Start checking PF & THDI curve.
Vin,Iout,Pin, Pout, PF, THDI
277, 10.0875, 546.2662354, 503.715, 0.9649513, 17.3724264
277, 20.15625, 856.3984222, 1004.614, 0.9710576, 13.4853035
277, 30.075, 1365.6356506, 1494.577, 0.9806983, 10.9235272
277, 40.14375, 1875.4747467, 1993.891, 0.9850834, 9.7472258
277, 50.19375, 2382.8792725, 2490.463, 0.9875016, 7.0553064
277, 60.09375, 3105.8145752, 2981.221, 0.9918130, 5.3445734
277, 70.18125, 3412.2243042, 3476.919, 0.9929757, 4.8208147
277, 80.25, 3941.0202942, 3971.973, 0.9949171, 4.1326929
277, 90.13125, 4467.9896240, 4461.649, 0.9962585, 4.0191270
277, 100.18125, 4996.8579712, 4952.81, 0.9971508, 3.7696052
