05/07 16:38:15 

Start checking PF & THDI curve.
Vin,Iout,Pin, Pout, PF, THDI
200, 10.10625, 547.1117477, 503.543, 0.9866598, 11.0701740
200, 20.15625, 856.9099960, 1002.672, 0.9837600, 9.6058562
200, 30.075, 1360.6835632, 1494.426, 0.9880994, 6.5023668
200, 40.125, 2074.5390015, 1991.283, 0.9947963, 5.0633661
200, 50.19375, 2384.2240906, 2493.826, 0.9958849, 4.2714760
200, 60.075, 2895.7575073, 2984.946, 0.9973985, 3.8463723
200, 70.18125, 3413.3482056, 3483.498, 0.9982515, 3.4815699
200, 80.23125, 3940.1853943, 3973.372, 0.9987483, 3.2242194
200, 90.13125, 4467.1528931, 4459.577, 0.9990254, 2.9861500
200, 100.18125, 5000.0153809, 4953.161, 0.9991252, 2.8552301
